iter	Passed	Remaining
0	151	151335
1	152	76099
2	153	50988
3	154	38413
4	155	30876
5	155	25838
6	156	22221
7	157	19497
8	157	17375
9	158	15675
10	158	14281
11	159	13120
12	159	12138
13	160	11299
14	160	10568
15	161	9931
16	161	9367
17	162	8865
18	163	8419
19	163	8016
20	164	7651
21	164	7319
22	165	7015
23	165	6737
24	166	6480
25	166	6244
26	167	6025
27	167	5822
28	168	5633
29	168	5456
30	169	5291
31	169	5136
32	170	4991
33	170	4854
34	171	4725
35	171	4603
36	172	4487
37	172	4378
38	173	4274
39	173	4175
40	174	4082
41	175	3997
42	175	3911
43	176	3832
44	176	3754
45	177	3680
46	178	3609
47	178	3541
48	179	3477
49	179	3415
50	180	3354
51	180	3297
52	181	3242
53	182	3188
54	182	3137
55	183	3087
56	183	3039
57	184	2992
58	184	2948
59	185	2904
60	185	2861
61	186	2821
62	187	2782
63	187	2744
64	188	2706
65	188	2670
66	189	2635
67	189	2597
68	190	2564
69	190	2533
70	191	2502
71	191	2471
72	192	2442
73	192	2413
74	193	2385
75	193	2358
76	194	2332
77	195	2306
78	195	2282
79	196	2257
80	196	2233
81	197	2209
82	198	2188
83	198	2166
84	199	2143
85	199	2122
86	200	2099
87	200	2079
88	201	2059
89	201	2040
90	202	2021
91	202	2002
92	203	1984
93	204	1966
94	204	1949
95	205	1933
96	205	1916
97	206	1901
98	207	1885
99	207	1869
100	208	1853
101	208	1836
102	209	1823
103	210	1809
104	210	1795
105	211	1781
106	211	1767
107	212	1754
108	212	1740
109	213	1727
110	214	1714
111	214	1702
112	215	1689
113	215	1677
114	216	1665
115	216	1652
116	217	1640
117	217	1628
118	218	1616
119	219	1606
120	219	1595
121	220	1584
122	220	1571
123	220	1561
124	221	1550
125	222	1540
126	222	1530
127	223	1519
128	223	1509
129	224	1500
130	224	1490
131	225	1481
132	225	1472
133	226	1463
134	226	1454
135	227	1445
136	228	1436
137	228	1427
138	229	1419
139	229	1410
140	230	1402
141	230	1394
142	231	1386
143	231	1378
144	232	1370
145	233	1362
146	233	1355
147	234	1347
148	234	1340
149	235	1332
150	235	1325
151	236	1318
152	236	1311
153	237	1304
154	237	1297
155	238	1290
156	239	1283
157	239	1276
158	240	1270
159	240	1263
160	241	1256
161	241	1250
162	242	1244
163	242	1238
164	243	1231
165	244	1225
166	244	1220
167	245	1214
168	245	1208
169	246	1202
170	246	1196
171	247	1191
172	248	1185
173	248	1180
174	249	1174
175	249	1169
176	250	1163
177	250	1158
178	251	1153
179	252	1148
180	252	1141
181	252	1136
182	253	1131
183	253	1126
184	254	1121
185	255	1116
186	255	1111
187	256	1106
188	256	1102
189	257	1097
190	257	1092
191	258	1088
192	259	1083
193	259	1079
194	260	1074
195	260	1070
196	261	1066
197	262	1061
198	262	1057
199	263	1053
200	263	1048
201	264	1044
202	265	1040
203	265	1036
204	266	1032
205	266	1028
206	267	1024
207	267	1020
208	268	1016
209	269	1012
210	269	1008
211	270	1004
212	270	1001
213	271	997
214	272	993
215	272	989
216	273	986
217	273	982
218	274	978
219	275	975
220	275	971
221	276	968
222	276	964
223	277	961
224	278	957
225	278	954
226	279	950
227	279	947
228	280	943
229	280	940
230	281	937
231	282	933
232	282	930
233	283	927
234	283	924
235	284	920
236	285	917
237	285	914
238	286	911
239	286	908
240	287	904
241	287	901
242	288	898
243	289	895
244	289	892
245	290	889
246	290	886
247	291	883
248	291	880
249	292	877
250	293	874
251	293	871
252	294	868
253	294	865
254	295	863
255	295	860
256	296	857
257	297	854
258	297	851
259	298	849
260	298	846
261	299	843
262	300	841
263	300	838
264	301	835
265	302	833
266	302	831
267	303	828
268	304	826
269	304	824
270	305	821
271	306	819
272	306	816
273	307	813
274	307	811
275	308	808
276	308	806
277	309	803
278	309	800
279	310	798
280	310	795
281	311	793
282	312	790
283	312	788
284	313	785
285	314	785
286	315	783
287	315	780
288	316	778
289	316	776
290	317	773
291	318	771
292	318	768
293	319	766
294	319	764
295	320	761
296	320	759
297	321	757
298	322	755
299	322	752
300	323	750
301	323	748
302	324	746
303	324	743
304	325	741
305	326	739
306	326	737
307	327	735
308	327	733
309	328	731
310	329	729
311	329	726
312	330	724
313	330	722
314	331	720
315	332	718
316	332	716
317	333	714
318	333	712
319	334	710
320	335	708
321	335	706
322	336	704
323	336	702
324	337	700
325	338	698
326	338	696
327	339	694
328	339	693
329	340	691
330	341	689
331	341	687
332	342	685
333	343	684
334	343	682
335	344	680
336	345	678
337	345	676
338	346	675
339	346	673
340	347	671
